# Observed cut height: 0.011656282
# Observed size of largest cluster at observed cut height: 104
# Expected size of largest cluster at observed cut height: 12.599999999999998
# Observed maximum ratio statistic: 8.254
# Expected maximum ratio statistic: 1.665
# p-value: 0.0
# Clusters:
ACADVL	ACAT1	ACAT2	ADA	ADM	AK3	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1A1	ANXA1	AXL	BLVRA	BLVRB	CA12	CA8	CCL2	CD24	CD44	COL18A1	CSF1	CXCL1	CXCL2	CXCL3	CXCL5	CXCL8	CYB5B	CYP1B1	CYP24A1	CYP2S1	DHCR24	DHCR7	DHRS3	DHRS4	DHX33	DR1	ECE2	ECH1	ECHDC1	EDN1	ELOVL5	EPHX1	ERLIN2	ETFB	FADS2	FDFT1	FDPS	FOXC1	G6PC3	GPC1	GPX2	GSTO1	HACD1	HACD2	HACD3	HADHA	HCCS	HMGCS1	HMOX1	HOXB6	HOXB8	HOXB9	HSD17B12	IDI1	IL11	IL18	INSIG1	JAK1	LBR	LMNB2	LRFN4	MAFK	MDK	MEIS2	MGST1	MSMO1	MVD	NAMPT	NNMT	NT5E	NUDT15	PBX1	POR	PPFIBP1	PTDSS1	PTPRS	PYCARD	RDH10	RDH11	RPE	S100A6	SCD	SCP2	SDC1	SEPHS1	SQLE	SULT2B1	TBPL1	TIMP1	TKT	TXNRD1	TXNRD2	TYMP
CTSA	CTSB	CTSD	CTSL	PLAU	PLAUR	SERPINE2	SNX12	SNX2	VPS26A	VPS35
B4GALT2	B4GALT3	B4GALT4	GALE	GALK1	PGM2L1	PYGB	ST6GAL2	UAP1	UGP2
CHML	MLPH	OPN3	PITPNC1	RAB1B	RAB22A	RAB27B	RAB31	TRAPPC4	TRAPPC6A
ALG3	ALG5	ALG8	BAIAP2L1	DPM1	DPM3
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
CHMP1A	CHMP1B	CHMP5	HGS	VPS28	VPS4A
DPYSL2	DPYSL3	FES	MSI2	NUMBL	ZC3H14
ABI2	ACTR3	ARPC1B	NCKAP1	WASF2
ADAM10	ADAM17	TSPAN14	TSPAN15	TSPAN17
AP1G1	AP1M2	AP1S2	CLINT1	HLA-A
ARHGAP35	RHOB	RHPN2	RND3	ROCK2
B4GALNT1	GALNT1	GALNT2	HEXA	ST3GAL5
ACBD3	GOLGA3	TSN	TSNAX
AGPAT1	GPAT4	LPIN1	PLPP5
C19orf12	FA2H	PANK2	PANK3
CSAG1	MAGEF1	NSMCE1	SLF1
EHBP1	EHD2	RAB10	RAB14
FOSL1	FOSL2	JUNB	JUND
GAL	GIP	NLN	NTS
MAP3K8	REL	TNIP1	TNIP2
MCL1	NUAK1	PMAIP1	USP9X
PDLIM7	TNNT1	TPM1	TPM2
ABCC1	ABCC2	ABCG2
APOC1	CLU	PCYOX1
AREG	EREG	NRG1
ASAH1	KDSR	PSAP
BASP1	MARCKS	MARCKSL1
CD3EAP	TAF1D	UBTF
CNTN1	NRCAM	NRP2
COMMD10	COMMD2	COMMD3
COX16	L3HYPDH	TMEM109
DDX39A	THOC3	THOC6
ENAH	PXN	VASP
FST	FSTL3	INHBB
GRAMD1B	NPC2	STARD3NL
HMGA1	HMGA2	LPP
IGFBP4	PAPPA	STC2
IGFBP7	MMP24	TIMP2
KRT18	KRT19	KRT8
LACTB	UBXN2A	UBXN4
NGRN	RPUSD1	RPUSD3
ODC1	SAT1	SMOX
TGM2	TOR1A	TOR1AIP2
AJUBA	WTIP
ALDH3A1	ALDH3B1
ANKRD28	PPP6R1
APOO	MTX1
ARCN1	COPZ2
ARF5	ARFIP2
ARL1	GCC2
ARNTL2	NPAS2
ATF5	CDC34
ATP6AP1	ATP6V1D
B9D2	TMEM237
BBIP1	PCM1
BCAT2	SDSL
BET1	USO1
CBR3	PTGES
CCND3	CDKN2C
CD55	CD59
CDC42EP1	RHOQ
CIAO1	NUBP1
CNPY3	UNC93B1
COLGALT1	PLOD2
CTBP2	KLF3
DAP	DAPK1
DCDC2	TDP2
DNAJC4	VEGFB
DYNC1H1	RILP
EFNA1	EPHA2
EPB41L1	TWF1
ESRRA	SLC7A1
FERMT1	PLEK2
FLII	LRRFIP2
FLOT2	STOM
GABRA5	GABRB3
HYAL2	SPAG9
IFT43	IFT81
ITGA2	ITGA3
IVNS1ABP	PRPSAP1
KCTD15	TMEM18
LGR4	RSPO3
LRPAP1	RGS14
LRPPRC	TACO1
MAP4	MARK3
MBD4	TDG
MCU	MICU1
MLX	MLXIP
MUC5AC	TFF1
NDUFA5	NDUFAF4
NEIL2	PNKP
NFYB	REPIN1
PAK4	RHOV
PEA15	RPS6KA3
PHF3	PTP4A1
PIGH	PIGP
POLR3D	POLR3G
PPP1R11	PPP1R7
PREB	SAR1B
PROCR	SCARB1
PSME1	PSME2
QKI	RBPMS
RAB5B	RIN2
RRBP1	SYNJ2BP
RTCB	ZBTB8OS
SDHAF1	SDHAF3
SEC63	STRADB
SLC3A2	SLC7A5
STMN1	UHMK1
TACC1	TACC2
TPD52L1	TPD52L2
ZFP36L1	ZFP36L2
AAAS
AAK1
AAMP
AASDHPPT
AATF
ABCE1
ABCF1
ABCF2
ABL2
ABT1
ACAA2
ACACA
ACD
ACER3
ACIN1
ACO2
ACOT7
ACSL3
ACTB
ACTG1
ACTL6A
ACTN1
ACTN4
ACTR1A
ACTR1B
ACYP1
ADAM9
ADAR
ADH5
ADIPOR2
ADK
ADNP
ADPGK
ADSL
AFAP1
AFF4
AFG3L2
AFMID
AGFG1
AGO2
AGPAT5
AGR2
AGRN
AGTRAP
AHI1
AHNAK
AHNAK2
AIFM1
AIFM2
AIMP1
AIMP2
AIP
AKAP12
AKAP9
AKIRIN1
AKIRIN2
AKR1B1
AKR7A2
AKT1
ALCAM
ALDH1B1
ALDH2
ALDOA
AMFR
AMOTL2
ANAPC13
ANAPC7
ANGPTL4
ANKLE2
ANKRD40
ANKRD9
ANLN
ANP32E
ANXA2
ANXA5
ANXA7
AP2A2
APLP2
APOBEC3C
APOE
APP
APPL1
APTX
AR
ARF4
ARHGAP11A
ARHGAP5
ARID1A
ARID4B
ARL6IP1
ARL8B
ARPC3
ASAP2
ASCC3
ASF1A
ASF1B
ASH1L
ASNS
ASPM
ASPSCR1
ASRGL1
ASXL1
ATAD2
ATAD5
ATF7
ATG12
ATG5
ATIC
ATL3
ATMIN
ATN1
ATP6AP2
ATP6V0D1
ATP6V1C1
ATP6V1E1
ATP6V1E2
ATPAF1
ATRX
ATXN2
ATXN2L
AURKA
AURKB
AVEN
AZI2
B4GALT1
B9D1
BABAM1
BAG2
BAG3
BANP
BATF3
BAX
BAZ1A
BAZ2A
BBC3
BCAM
BCAR1
BCAT1
BCCIP
BCL2L1
BCL3
BCLAF1
BCS1L
BDNF
BDP1
BECN1
BHLHE40
BIN1
BIRC2
BIRC3
BIRC5
BIRC6
BLOC1S4
BMP4
BMS1
BNIP2
BNIP3L
BOLA1
BOP1
BRCA1
