# Observed cut height: 0.00416696
# Observed size of largest cluster at observed cut height: 46
# Expected size of largest cluster at observed cut height: 15.5
# Observed maximum ratio statistic: 2.968
# Expected maximum ratio statistic: 1.809
# p-value: 0.0
# Clusters:
ACAA2	ACADVL	ACAT1	ACOT7	ADH5	AKR1B10	AKR1C1	AKR1C2	AKR1C3	ALDH1A1	ALDH1B1	ALDH3A1	CD24	CES1	CES2	CYP1B1	CYP2S1	DHCR24	DHRS3	DHRS4	ECHDC1	ELOVL1	ESD	FDFT1	G6PC3	GLUD1	HACD2	HACD3	HADHA	HAGH	HSD17B12	INSIG1	LBR	LMNA	LMNB2	MVK	QDPR	RDH10	RDH11	SCD	SQLE	SULT2B1	SUN1	SYNE1	TECR	THEM4
AGTRAP	ARCN1	CAMLG	COPZ2	CTSC	FNIP1	GOSR2	LMAN1	PEF1	PITPNC1	RAB1B	RRAGA	SEC13	SEC22C	SLC10A3	TBC1D20	TMED1	TMED10	TMED4	TMED7	TPR	TRAPPC4	TRAPPC6A	UBL4A	USO1	VAMP3	YKT6
APTX	BLVRA	BLVRB	COQ5	COQ9	CRYZ	FXN	GPX2	HMOX1	HMOX2	IREB2	SEPHS1	SOD2	TXNRD2
AKAP9	ARHGAP35	DIAPH1	PKN1	PPP1R10	PPP1R12A	PPP1R14A	RHOB	RHOD	RHPN2	RND3	ROCK1
B4GALT1	B4GALT2	B4GALT3	B4GALT4	GALE	GALK1	PGM2L1	PYGB	PYGL	ST6GAL2	UGP2
ATF7	BATF3	FOSL1	FOSL2	JUNB	JUND	KIAA0930	MAP3K11	SFN	TXNDC9
AHNAK	AHNAK2	CAPN1	EHBP1	EHD1	EHD2	MYOF	RAB10	RAB11FIP2
BROX	CHMP1B	CHMP2B	CHMP5	HGS	TMEM106B	USP8	VPS28	VPS4A
COMMD1	COMMD10	COMMD2	COMMD3	COMMD5	CREB3	KLHDC2	KLHDC3	PRAME
HEXIM1	HEXIM2	LARP7	MEPCE	METTL16	WTAP	YTHDF1	YTHDF2
CTSB	CTSL	PLAU	SERPINE2	SNX12	SNX6	VPS26A
GNAI2	GNG11	GNG12	MMP24	PAK4	RGS19	TIMP2
ADAM9	ASPSCR1	CHAMP1	MAD2L2	PRCC	UBXN2A
ALG5	ALG8	BAIAP2L1	DPM1	DPM3	MPDU1
ARF4	ARF5	ARFIP2	ARL1	GCC2	SCOC
ATP6AP1	ATP6AP2	ATP6V1D	ATP6V1E1	ATP6V1E2	TMEM199
BAMBI	CKAP4	DKK1	FZD2	SFRP1	WNT7B
ACIN1	SRPK2	SRSF11	SRSF4	SRSF6
AGPAT1	AGPAT5	CDS2	GPAT4	PLPP5
AREG	EREG	MYH9	NRG1	S100A4
CSAG1	MAGEF1	NSMCE1	SLF1	SMC5
ELAC2	ENDOG	EXOG	TRMT10C	TRMT6
NFKBIB	REL	RELB	TNIP1	TNIP2
AFG3L2	LONP1	SPG7	YME1L1
AP1G1	AP1M2	AP1S2	CLINT1
ATPAF1	ECSIT	TMEM70	TRIM59
C19orf12	FA2H	PANK2	PPCS
CAPRIN1	FXR1	G3BP2	TIAL1
CD47	CLDN1	ESAM	SCARB1
CDIPT	IMPAD1	PIGH	PLCD3
CNTN1	NRCAM	NRP2	SEMA3C
HIP1	IFT27	IFT57	IFT81
PDLIM5	PDLIM7	TNNT1	TPM2
THOC2	THOC3	THOC6	ZC3H18
ABI2	NCKAP1	WASF2
ADM	ECE2	EDN1
B9D1	B9D2	CEP290
BIN1	FCHO1	ITSN2
BOLA1	CIAO1	CIAPIN1
CA12	CA8	CYP24A1
CASK	EPS8	EPS8L2
CCK	GAL	NLN
CTDSP1	CTDSPL	REST
CXCL1	CXCL3	CXCL5
ENAH	VASP	ZYX
FST	FSTL3	INHBB
HMGA1	HMGA2	LPP
HOXB6	HOXB8	PBX1
IGFBP4	PAPPA	STC2
MBD4	TDG	UNG
MLX	MLXIP	MXD4
MSI2	NUMBL	ZC3H14
NAMPT	NNMT	SIRT7
NPC1	NPC2	STARD3NL
RBBP6	SON	ZBTB38
SDHAF1	SDHAF2	SDHAF3
TAF1D	TCOF1	UBTF
THAP11	THAP4	THAP7
ABCC1	ABCC2
ACER3	ASAH1
AJUBA	WTIP
ANKRD28	PPP6R1
ARID4B	SAP30L
ATF5	CDC34
ATL3	RTN3
BBC3	MCL1
BBIP1	PCM1
BCLAF1	THRAP3
CACNG6	CACNG8
CBR3	PTGES
CD2BP2	EAPP
CKB	GAMT
CLCF1	IL6ST
CNPY3	UNC93B1
COPS6	COPS8
CRELD2	MANF
CTBP2	KLF3
CTPS1	NUDT2
CYB5B	CYB5R3
DNM1L	PGAM5
DYNLL2	DYNLT3
FADS2	PTDSS1
FJX1	TRIM44
FKBP10	PLOD2
FLOT2	STOM
FRA10AC1	ZNF32
FSCN1	RAB35
GABRA5	GABRB3
GAR1	TRUB2
HAT1	WDR73
HAUS1	HAUS2
HECW1	NDFIP1
IL18	PYCARD
ITGA3	LAMC2
JADE1	MEAF6
KCTD15	TMEM18
KIF5B	TFG
KRT19	KRT8
KRTCAP2	TUSC3
LRPPRC	TACO1
MAP2K3	TAOK1
MAP4	MARK3
MARCKS	MARCKSL1
MLPH	RAB27B
MSC	TLE1
MTHFD1	MTHFD2
NFYB	REPIN1
PDE6D	UNC119
PHLDA2	SLC22A18AS
PPP1R11	PPP1R7
PPP4R2	PPP4R3A
RAB22A	RAB31
RAB9A	RHOBTB3
RAD50	RFC1
RALA	RALB
RPE	RPIA
SEC63	STRADB
SLC3A2	SLC7A5
SLC9A3R2	TRIP6
TGM2	TOR1AIP2
TPD52L1	TPD52L2
TSN	TSNAX
TSPAN14	TSPAN15
ZFP36L1	ZFP36L2
AAAS
AAK1
AAMP
AASDHPPT
AATF
ABCE1
ABCF1
ABCF2
ABCG2
ABL2
ABT1
ACACA
ACAT2
ACBD3
ACD
ACO2
ACSL3
ACTB
ACTG1
ACTL6A
ACTN1
ACTN4
ACTR1A
ACTR1B
ACTR3
ACYP1
ADA
ADAM10
ADAM17
ADAR
ADIPOR2
ADK
ADNP
ADPGK
ADSL
AFAP1
AFF4
AFMID
AGFG1
AGO2
AGR2
AGRN
AHI1
AIFM1
AIFM2
AIMP1
AIMP2
AIP
AK3
AKAP12
AKIRIN1
AKIRIN2
AKR1B1
AKR7A2
AKT1
ALCAM
ALDH2
ALDH3B1
ALDOA
ALG3
AMFR
AMOTL2
ANAPC13
ANAPC7
ANGPTL4
ANKLE2
ANKRD40
ANKRD9
ANLN
ANP32E
ANXA1
ANXA2
ANXA5
ANXA7
AP2A2
APLP2
APOBEC3C
APOC1
APOE
APOO
APP
APPL1
AR
ARHGAP11A
ARHGAP5
ARID1A
ARL6IP1
ARL8B
ARNTL2
ARPC1B
ARPC3
ASAP2
ASCC3
ASF1A
ASF1B
ASH1L
ASNS
ASPM
ASRGL1
ASXL1
ATAD2
ATAD5
ATG12
ATG5
ATIC
ATMIN
ATN1
ATP6V0D1
ATP6V1C1
ATRX
ATXN2
ATXN2L
AURKA
AURKB
AVEN
AXL
AZI2
B4GALNT1
BABAM1
BAG2
BAG3
BANP
BASP1
BAX
BAZ1A
BAZ2A
BCAM
BCAR1
BCAT1
BCAT2
BCCIP
BCL2L1
BCL3
BCS1L
BDNF
BDP1
BECN1
BET1
BHLHE40
BIRC2
BIRC3
BIRC5
BIRC6
BLOC1S4
BMP4
BMS1
BNIP2
BNIP3L
BOP1
BRCA1
BRD2
BRD3
BRIX1
BTBD6
BUB3
C11orf1
C11orf74
C12orf65
C16orf74
C1D
C1orf131
C6orf62
C9orf116
C9orf78
CACYBP
CALM2
CALR
CALU
CAND1
CANT1
CAPZA1
CASC3
CAV1
CAV2
CBX6
CCAR1
CCDC12
CCDC47
CCDC88A
CCDC92
CCL2
CCNA2
CCNB1
CCNB2
CCNC
CCND1
CCND3
CCNE1
CCNF
CCNG1
CCNH
CCNK
CCT2
CCT3
CCT4
CCT5
CCT7
CCT8
CCZ1
CD3EAP
CD44
CD55
CD59
CD81
CD9
CDA
CDC123
CDC20
CDC27
CDC42
CDC42BPA
CDC42BPB
CDC42EP1
CDC42EP3
CDC42EP4
CDC42SE1
CDC42SE2
CDC6
CDC73
CDCA2
CDCA3
CDCA5
CDCA7L
CDCA8
CDCP1
CDH2
CDK1
CDK12
CDK5
CDK5RAP2
CDK6
CDKN1A
