genes names,interactor
SRC,yes
IQGAP1,yes
CDC42,yes
ACTG1,yes
ACTB,yes
CTNNB1,yes
ENO1,yes
ALDOA,yes
STAT3,yes
NDUFA13,yes
PGK1,yes
GAPDH,yes
PKM,yes
CD44,yes
ALDH1A1,yes
ADH5,yes
TP53,yes
PTEN,yes
RAF1,yes
GNAI2,yes
APP,yes
ANXA2,yes
MAPK9,yes
BCL2L1,yes
TALDO1,yes
ALDH2,yes
CYP2S1,yes
EPHX1,yes
EGFR,yes
CXCL8,yes
AKT1,yes
STAT1,yes
CYP1B1,yes
NDUFS2,yes
HIF1A,yes
CCNB1,yes
NFKB2,yes
UQCRC2,yes
WBP2,yes
NEDD4L,yes
SULT2B1,yes
DHCR7,yes
AKR1B10,yes
G6PC3,yes
GLUD1,yes
CS,yes
NFE2L2,yes
PDHB,yes
TXN,yes
GSR,yes
SREBF1,yes
XIAP,yes
BIRC3,yes
KRAS,yes
