genes_names,lfc_cluster5
EFHD2,-0.022409944833059806
CAMK2N1,-0.29779936877456115
SH3BGRL3,0.14236743270457775
SFN,0.2827795243351803
CITED4,0.29317016072831426
PRDX1,-0.1304325940701895
JAK1,-0.4035513709143487
LEPROT,-0.26076629037306914
SRSF11,-0.24761717370424025
S100A6,0.15126770279564533
S100A4,0.15284318572103206
S100A3,0.11803618404865757
S100A16,0.22658323551495027
RPS27,-0.06447251273581053
FDPS,-0.2145008473687186
LMNA,0.07836278798297742
TAGLN2,-0.13514657261547075
MPZL1,-0.22071296252710368
ELF3,-0.5875162322324419
NUCKS1,-0.13004501972336108
ENAH,-0.3328523219618892
RP11-295G20.2,0.31581546273379363
OPN3,-0.49686905032260953
RPS7,-0.014116051500237928
ID2,0.3241447366232227
HPCAL1,0.470213870745438
ODC1,0.13131570590543457
ROCK2,-0.30630382707845183
SDC1,-0.2862170398033982
RHOB,0.4190722909348895
RAB10,-0.3106328882357631
SLC35F6,-0.243274504182166
CALM2,0.045497699910379955
AAK1,-0.34304112765613065
ST3GAL5,0.7260464316122379
MYO1B,-0.5616276308615811
HSPD1,-0.10458620761644226
SPATS2L,0.09503410916447139
SERPINE2,0.4075417309510992
ARL4C,0.4066206040110269
MLPH,0.4435754635002781
KIF9,0.2915208885643503
GPX1,0.07731787236334149
TKT,-0.26642577436395687
DCBLD2,0.39339724089162187
TM4SF1,0.25307043879348184
OCIAD2,0.26797837209068476
IGFBP7,-0.3895965861089139
CXCL5,0.43707255964196595
EREG,0.5235904101683675
AREG,0.4242562118998684
PALLD,-0.7437685153987924
HPGD,0.24327877854713859
TRIML2,-0.36709256417454394
BASP1,-0.09766212234793045
HMGCS1,-0.4405554496117737
PLK2,-0.3067065298775529
MAP1B,-0.13723931422901287
GLRX,-0.16828804532083247
TGFBI,0.09480235866396246
NPM1,-0.08008487748484147
DUSP1,-0.01813164653913918
CPLX2,-0.6076558519960199
TRIM7,0.38462425396647315
GNB2L1,-0.03606636364698915
TUBB,-0.12978574006211632
IER3,0.42311098050027535
CLIC1,0.1540435601327276
HMGA1,0.2843960606008925
C6orf1,0.5045389380334119
CCND3,-0.41590204716771345
HSP90AB1,-0.15808488000912374
EEF1A1,-0.04957867257344607
CD24,-0.1878797772418447
TPD52L1,-0.4297886354707462
RSPO3,-0.20109703626005876
MAP7,-0.5015168588710275
AKAP12,0.5021969159467073
EZR,0.06413580981132486
ACTB,-0.09974474098978621
AGR2,0.29865828329055544
EPDR1,-0.3794528631871811
TNS3,-0.38287462377009973
GNG11,0.2768883010882266
SDHAF3,0.22316977562421805
ARPC1B,0.1234383477953747
NAMPT,-0.25436459299117886
CAV2,-0.09510243309143387
CAV1,-0.09219651180122683
AKR1B10,-0.4946862868133909
SH3KBP1,0.38954720071697524
SAT1,0.19854998534917695
TIMP1,0.15932744066161558
PCSK1N,-0.20639503370862472
RPS4X,-0.03670641094922683
MORC4,0.4292328511974878
