,louvain,source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents,intersections,evidences
0,0,KEGG,KEGG:04668,TNF signaling pathway,5.309462089540246e-07,True,TNF signaling pathway,113,253,18,8484,0.07114624505928854,0.1592920353982301,query_1,['KEGG:00000'],"['ENSG00000177606', 'ENSG00000184371', 'ENSG00000073756', 'ENSG00000163739', 'ENSG00000163734', 'ENSG00000081041', 'ENSG00000164136', 'ENSG00000150630', 'ENSG00000125347', 'ENSG00000182158', 'ENSG00000127191', 'ENSG00000023445', 'ENSG00000107968', 'ENSG00000108691', 'ENSG00000006062', 'ENSG00000108984', 'ENSG00000184557', 'ENSG00000128342']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
1,0,KEGG,KEGG:04015,Rap1 signaling pathway,6.261527287136632e-06,True,Rap1 signaling pathway,210,253,23,8484,0.09090909090909091,0.10952380952380952,query_1,['KEGG:00000'],"['ENSG00000142627', 'ENSG00000076864', 'ENSG00000184371', 'ENSG00000169242', 'ENSG00000158186', 'ENSG00000150630', 'ENSG00000181104', 'ENSG00000160867', 'ENSG00000169220', 'ENSG00000197461', 'ENSG00000198121', 'ENSG00000173511', 'ENSG00000273079', 'ENSG00000049130', 'ENSG00000196405', 'ENSG00000137801', 'ENSG00000171914', 'ENSG00000102981', 'ENSG00000170425', 'ENSG00000108984', 'ENSG00000178184', 'ENSG00000101333', 'ENSG00000141968']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
2,0,KEGG,KEGG:05200,Pathways in cancer,0.009181758873166525,True,Pathways in cancer,527,253,32,8484,0.12648221343873517,0.06072106261859583,query_1,['KEGG:00000'],"['ENSG00000117394', 'ENSG00000177606', 'ENSG00000073756', 'ENSG00000092969', 'ENSG00000168243', 'ENSG00000074047', 'ENSG00000068028', 'ENSG00000164136', 'ENSG00000150630', 'ENSG00000164171', 'ENSG00000181104', 'ENSG00000160867', 'ENSG00000197461', 'ENSG00000102096', 'ENSG00000197565', 'ENSG00000196730', 'ENSG00000106799', 'ENSG00000198121', 'ENSG00000127191', 'ENSG00000173511', 'ENSG00000023445', 'ENSG00000077150', 'ENSG00000049130', 'ENSG00000139618', 'ENSG00000134871', 'ENSG00000125378', 'ENSG00000180340', 'ENSG00000053747', 'ENSG00000101333', 'ENSG00000074181', 'ENSG00000105173', 'ENSG00000105327']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
3,0,KEGG,KEGG:04380,Osteoclast differentiation,0.015442202854734098,True,Osteoclast differentiation,132,253,13,8484,0.05138339920948617,0.09848484848484848,query_1,['KEGG:00000'],"['ENSG00000177606', 'ENSG00000184371', 'ENSG00000092969', 'ENSG00000075426', 'ENSG00000106799', 'ENSG00000127191', 'ENSG00000175592', 'ENSG00000077150', 'ENSG00000123104', 'ENSG00000006062', 'ENSG00000108984', 'ENSG00000184557', 'ENSG00000104856']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
4,0,KEGG,KEGG:04390,Hippo signaling pathway,0.024885348884981624,True,Hippo signaling pathway,157,253,14,8484,0.05533596837944664,0.08917197452229299,query_1,['KEGG:00000'],"['ENSG00000092969', 'ENSG00000074047', 'ENSG00000068028', 'ENSG00000181449', 'ENSG00000138696', 'ENSG00000106799', 'ENSG00000023445', 'ENSG00000150457', 'ENSG00000125378', 'ENSG00000102981', 'ENSG00000180340', 'ENSG00000178184', 'ENSG00000142279', 'ENSG00000105327']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
5,0,KEGG,KEGG:04010,MAPK signaling pathway,0.02576860841807578,True,MAPK signaling pathway,301,253,21,8484,0.08300395256916997,0.06976744186046512,query_1,['KEGG:00000'],"['ENSG00000142627', 'ENSG00000177606', 'ENSG00000184371', 'ENSG00000169242', 'ENSG00000092969', 'ENSG00000158186', 'ENSG00000150630', 'ENSG00000160867', 'ENSG00000197461', 'ENSG00000106799', 'ENSG00000127191', 'ENSG00000173511', 'ENSG00000107968', 'ENSG00000077150', 'ENSG00000111266', 'ENSG00000049130', 'ENSG00000006062', 'ENSG00000006283', 'ENSG00000108984', 'ENSG00000104856', 'ENSG00000130433']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
0,2,KEGG,KEGG:03050,Proteasome,3.02149706471578e-16,True,Proteasome,46,279,20,8484,0.07168458781362007,0.43478260869565216,query_1,['KEGG:00000'],"['ENSG00000126067', 'ENSG00000143106', 'ENSG00000159352', 'ENSG00000115233', 'ENSG00000173692', 'ENSG00000175166', 'ENSG00000106588', 'ENSG00000161057', 'ENSG00000185627', 'ENSG00000165916', 'ENSG00000092010', 'ENSG00000100911', 'ENSG00000100519', 'ENSG00000100567', 'ENSG00000100764', 'ENSG00000103035', 'ENSG00000108671', 'ENSG00000108344', 'ENSG00000197170', 'ENSG00000013275']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
1,2,KEGG,KEGG:05020,Prion disease,4.66354213781662e-11,True,Prion disease,271,279,36,8484,0.12903225806451613,0.13284132841328414,query_1,['KEGG:00000'],"['ENSG00000117118', 'ENSG00000126067', 'ENSG00000143106', 'ENSG00000159352', 'ENSG00000158864', 'ENSG00000115233', 'ENSG00000127824', 'ENSG00000173692', 'ENSG00000130414', 'ENSG00000010256', 'ENSG00000175166', 'ENSG00000213585', 'ENSG00000204435', 'ENSG00000106588', 'ENSG00000161057', 'ENSG00000105971', 'ENSG00000078668', 'ENSG00000044574', 'ENSG00000185627', 'ENSG00000165916', 'ENSG00000213619', 'ENSG00000168439', 'ENSG00000170759', 'ENSG00000139180', 'ENSG00000167552', 'ENSG00000100519', 'ENSG00000100567', 'ENSG00000134001', 'ENSG00000100764', 'ENSG00000140740', 'ENSG00000103035', 'ENSG00000108671', 'ENSG00000108344', 'ENSG00000197170', 'ENSG00000176014', 'ENSG00000013275']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
2,2,KEGG,KEGG:05012,Parkinson disease,1.207014571459987e-10,True,Parkinson disease,265,279,35,8484,0.12544802867383512,0.1320754716981132,query_1,['KEGG:00000'],"['ENSG00000117118', 'ENSG00000126067', 'ENSG00000143106', 'ENSG00000159352', 'ENSG00000158864', 'ENSG00000115233', 'ENSG00000127824', 'ENSG00000173692', 'ENSG00000130414', 'ENSG00000010256', 'ENSG00000175166', 'ENSG00000213585', 'ENSG00000106588', 'ENSG00000161057', 'ENSG00000078668', 'ENSG00000044574', 'ENSG00000185627', 'ENSG00000165916', 'ENSG00000213619', 'ENSG00000170759', 'ENSG00000139180', 'ENSG00000167552', 'ENSG00000100519', 'ENSG00000100567', 'ENSG00000134001', 'ENSG00000100764', 'ENSG00000126602', 'ENSG00000140740', 'ENSG00000103035', 'ENSG00000108671', 'ENSG00000108344', 'ENSG00000197170', 'ENSG00000176014', 'ENSG00000171552', 'ENSG00000013275']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
3,2,KEGG,KEGG:05014,Amyotrophic lateral sclerosis,3.984123963677189e-09,True,Amyotrophic lateral sclerosis,363,279,39,8484,0.13978494623655913,0.10743801652892562,query_1,['KEGG:00000'],"['ENSG00000117118', 'ENSG00000126067', 'ENSG00000143106', 'ENSG00000159352', 'ENSG00000158864', 'ENSG00000047410', 'ENSG00000115233', 'ENSG00000127824', 'ENSG00000173692', 'ENSG00000130414', 'ENSG00000157020', 'ENSG00000010256', 'ENSG00000175166', 'ENSG00000213585', 'ENSG00000106588', 'ENSG00000161057', 'ENSG00000157168', 'ENSG00000165280', 'ENSG00000044574', 'ENSG00000185627', 'ENSG00000165916', 'ENSG00000213619', 'ENSG00000170759', 'ENSG00000138279', 'ENSG00000139180', 'ENSG00000167552', 'ENSG00000100519', 'ENSG00000100567', 'ENSG00000134001', 'ENSG00000100764', 'ENSG00000140740', 'ENSG00000103035', 'ENSG00000140941', 'ENSG00000108671', 'ENSG00000108344', 'ENSG00000197170', 'ENSG00000176014', 'ENSG00000171552', 'ENSG00000013275']","[['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG'], ['KEGG']]"
